Product Type,Product Weight (kg),Purpose,Vehicle Type,maxWeightCapacity
Fresh Vegetables,11448,perishable goods,10 wheeler Reefer Truck,11569
Vegetables,6564,crops,Dropside Truck,7614
Fresh Vegetables,5230,perishable goods,Large Refrigerated Truck,5714
Corn,11775,crops,10 Wheeler Dump Truck,13437
Fresh Vegetables,898,perishable goods,Medium Refrigerated Van,1808
Vegetables,4039,crops,Heavy Duty Pickup Truck,5164
Cows,5500,livestock,Large Livestock Truck,7178
Frozen Fish,10994,perishable goods,10 wheeler Reefer Truck,12128
Goats,6065,livestock,Large Livestock Truck,7498
Goats,8100,livestock,10 wheeler Livestock Truck,9809
Fruits,10398,crops,10 Wheeler Cargo Truck,10910
Cows,5839,livestock,Large Livestock Truck,6384
Fruits,5568,crops,Dropside Truck,6371
Pigs,2069,livestock,Medium Livestock Truck,3297
Pigs,8238,livestock,10 wheeler Livestock Truck,9180
Fruits,13297,crops,10 Wheeler Dump Truck,14122
Milk,1373,perishable goods,Large Refrigerated Van,2389
Milk,6138,perishable goods,Large Refrigerated Truck,7250
Frozen Fish,5769,perishable goods,Large Refrigerated Truck,5934
Leafy Greens,2314,perishable goods,Small Refrigerated Truck,2724
Pigs,5475,livestock,Large Livestock Truck,6835
Vegetables,7106,crops,Dropside Truck,8609
Leafy Greens,4850,perishable goods,Medium Refrigerated Truck,6657
Fresh Vegetables,1627,perishable goods,Small Refrigerated Truck,3466
Meat,9085,perishable goods,10 wheeler Reefer Truck,9783
Corn,6375,crops,Dropside Truck,7888
Corn,5338,crops,Dropside Truck,6399
Vegetables,329,crops,Tricycle,1841
Corn,9516,crops,10 Wheeler Cargo Truck,10093
Frozen Fish,919,perishable goods,Medium Refrigerated Van,1746
Chickens,7916,livestock,10 wheeler Livestock Truck,8573
Eggs,8033,perishable goods,Large Refrigerated Truck,9690
Fruits,7095,crops,Dropside Truck,9045
Rice,14933,crops,10 Wheeler Dump Truck,15458
Rice,299,crops,Tricycle,407
Chickens,6808,livestock,Large Livestock Truck,8735
Eggs,7407,perishable goods,Large Refrigerated Truck,8425
Fresh Vegetables,6445,perishable goods,Large Refrigerated Truck,6965
Goats,3356,livestock,Large Livestock Truck,3688
Goats,1125,livestock,Small Livestock Truck,1737
Chickens,2296,livestock,Medium Livestock Truck,4064
Cows,5481,livestock,Large Livestock Truck,7468
Fresh Vegetables,5846,perishable goods,Large Refrigerated Truck,7012
Chickens,1609,livestock,Medium Livestock Truck,1942
Chickens,2454,livestock,Medium Livestock Truck,3429
Cows,4379,livestock,Large Livestock Truck,4487
Goats,11805,livestock,10 wheeler Livestock Truck,11937
Leafy Greens,5021,perishable goods,Large Refrigerated Truck,6862
Chickens,5457,livestock,Large Livestock Truck,6690
Eggs,10201,perishable goods,10 wheeler Reefer Truck,10342
Fresh Vegetables,5777,perishable goods,Large Refrigerated Truck,6375
Corn,6795,crops,Dropside Truck,8072
Frozen Fish,2171,perishable goods,Small Refrigerated Truck,2352
Rice,3242,crops,Elf Truck,3499
Fruits,13728,crops,10 Wheeler Dump Truck,13976
Cows,8188,livestock,10 wheeler Livestock Truck,8595
Goats,8128,livestock,10 wheeler Livestock Truck,9460
Pigs,3022,livestock,Large Livestock Truck,4607
Goats,10545,livestock,10 wheeler Livestock Truck,11654
Goats,6385,livestock,Large Livestock Truck,7502
Corn,13665,crops,10 Wheeler Dump Truck,14459
Vegetables,9273,crops,10 Wheeler Cargo Truck,10645
Fresh Vegetables,9812,perishable goods,10 wheeler Reefer Truck,11720
Meat,5534,perishable goods,Large Refrigerated Truck,6533
Vegetables,7801,crops,Dropside Truck,9794
Frozen Fish,10374,perishable goods,10 wheeler Reefer Truck,11421
Eggs,2474,perishable goods,Small Refrigerated Truck,3618
Eggs,7768,perishable goods,Large Refrigerated Truck,8652
Chickens,4824,livestock,Large Livestock Truck,4953
Vegetables,3928,crops,Heavy Duty Pickup Truck,4376
Corn,2423,crops,Large Pickup Truck,3033
Eggs,760,perishable goods,Small Refrigerated Van,2570
Vegetables,6348,crops,Dropside Truck,7408
Chickens,7526,livestock,10 wheeler Livestock Truck,9414
Chickens,4633,livestock,Large Livestock Truck,6321
Fresh Vegetables,3849,perishable goods,Medium Refrigerated Truck,4009
Vegetables,9801,crops,10 Wheeler Cargo Truck,10325
Rice,13085,crops,10 Wheeler Dump Truck,13230
Corn,2699,crops,Large Pickup Truck,4605
Meat,9270,perishable goods,10 wheeler Reefer Truck,9407
Chickens,2553,livestock,Medium Livestock Truck,3750
Corn,13634,crops,10 Wheeler Dump Truck,13859
Eggs,2145,perishable goods,Small Refrigerated Truck,3839
Leafy Greens,3945,perishable goods,Medium Refrigerated Truck,5295
Pigs,9633,livestock,10 wheeler Livestock Truck,10891
Vegetables,13414,crops,10 Wheeler Dump Truck,14418
Eggs,2782,perishable goods,Small Refrigerated Truck,3266
Milk,10382,perishable goods,10 wheeler Reefer Truck,11418
Chickens,2327,livestock,Medium Livestock Truck,2663
Milk,11627,perishable goods,10 wheeler Reefer Truck,12318
Leafy Greens,1263,perishable goods,Large Refrigerated Van,1992
Vegetables,8987,crops,Dropside Truck,10435
Meat,4128,perishable goods,Medium Refrigerated Truck,4533
Vegetables,1568,crops,Large Delivery Van,1706
Meat,2523,perishable goods,Small Refrigerated Truck,4516
Chickens,7049,livestock,10 wheeler Livestock Truck,7323
Cows,8808,livestock,10 wheeler Livestock Truck,10806
Chickens,730,livestock,Small Livestock Truck,1034
Eggs,4061,perishable goods,Medium Refrigerated Truck,5943
Frozen Fish,2554,perishable goods,Small Refrigerated Truck,3701
Chickens,9070,livestock,10 wheeler Livestock Truck,9668
Chickens,3856,livestock,Large Livestock Truck,5330
Vegetables,11673,crops,10 Wheeler Cargo Truck,12223
Leafy Greens,737,perishable goods,Small Refrigerated Van,2680
Fruits,7458,crops,Dropside Truck,8415
Pigs,416,livestock,Small Livestock Truck,1088
Vegetables,5295,crops,Dropside Truck,6949
Milk,6014,perishable goods,Large Refrigerated Truck,7487
Milk,2061,perishable goods,Small Refrigerated Truck,2246
Fruits,4247,crops,Heavy Duty Pickup Truck,6211
Chickens,10617,livestock,10 wheeler Livestock Truck,12057
Pigs,20,livestock,Small Livestock Truck,1723
Eggs,8201,perishable goods,Large Refrigerated Truck,10088
Frozen Fish,3336,perishable goods,Medium Refrigerated Truck,4686
Leafy Greens,7232,perishable goods,Large Refrigerated Truck,8689
Vegetables,6715,crops,Dropside Truck,8344
Leafy Greens,519,perishable goods,Small Refrigerated Van,1662
Goats,4796,livestock,Large Livestock Truck,5836
Eggs,3657,perishable goods,Medium Refrigerated Truck,4285
Corn,1892,crops,Large Delivery Van,2069
Goats,5502,livestock,Large Livestock Truck,6784
Eggs,6912,perishable goods,Large Refrigerated Truck,8172
Fruits,14610,crops,10 Wheeler Dump Truck,16396
Goats,2059,livestock,Medium Livestock Truck,2625
Leafy Greens,8570,perishable goods,Large Refrigerated Truck,10026
Goats,6425,livestock,Large Livestock Truck,6956
Corn,7879,crops,Dropside Truck,8217
Leafy Greens,11106,perishable goods,10 wheeler Reefer Truck,11805
Frozen Fish,7833,perishable goods,Large Refrigerated Truck,9554
Leafy Greens,6040,perishable goods,Large Refrigerated Truck,7952
Frozen Fish,3613,perishable goods,Medium Refrigerated Truck,3772
Fresh Vegetables,1425,perishable goods,Large Refrigerated Van,1573
Goats,689,livestock,Small Livestock Truck,2363
Fruits,1864,crops,Large Delivery Van,2025
Chickens,9181,livestock,10 wheeler Livestock Truck,10678
Eggs,9150,perishable goods,10 wheeler Reefer Truck,10005
Corn,35,crops,Motorcyle with Box,435
Cows,3311,livestock,Large Livestock Truck,4533
Vegetables,7989,crops,Dropside Truck,8397
Leafy Greens,2881,perishable goods,Small Refrigerated Truck,4586
Eggs,4420,perishable goods,Medium Refrigerated Truck,5616
Milk,2697,perishable goods,Small Refrigerated Truck,3087
Eggs,442,perishable goods,Small Refrigerated Van,938
Meat,1049,perishable goods,Medium Refrigerated Van,2796
Pigs,5337,livestock,Large Livestock Truck,6625
Chickens,1608,livestock,Medium Livestock Truck,2708
Vegetables,13910,crops,10 Wheeler Dump Truck,15210
Cows,9170,livestock,10 wheeler Livestock Truck,10845
Goats,8469,livestock,10 wheeler Livestock Truck,10408
Goats,1144,livestock,Small Livestock Truck,2012
Chickens,3735,livestock,Large Livestock Truck,4748
Goats,1237,livestock,Small Livestock Truck,1680
Chickens,1627,livestock,Medium Livestock Truck,2469
Vegetables,2092,crops,Large Pickup Truck,2331
Meat,3858,perishable goods,Medium Refrigerated Truck,4743
Fresh Vegetables,4596,perishable goods,Medium Refrigerated Truck,6400
Leafy Greens,686,perishable goods,Small Refrigerated Van,2376
Corn,3473,crops,Large Pickup Truck,3991
Frozen Fish,1342,perishable goods,Large Refrigerated Van,1966
Chickens,8224,livestock,10 wheeler Livestock Truck,8336
Cows,7920,livestock,10 wheeler Livestock Truck,9843
Frozen Fish,10895,perishable goods,10 wheeler Reefer Truck,12105
Fresh Vegetables,7855,perishable goods,Large Refrigerated Truck,8367
Chickens,11629,livestock,10 wheeler Livestock Truck,13353
Goats,11869,livestock,10 wheeler Livestock Truck,12775
Eggs,853,perishable goods,Medium Refrigerated Van,1427
Meat,5983,perishable goods,Large Refrigerated Truck,6378
Pigs,8295,livestock,10 wheeler Livestock Truck,9749
Fresh Vegetables,11037,perishable goods,10 wheeler Reefer Truck,12949
Corn,9013,crops,10 Wheeler Cargo Truck,10449
Fruits,6453,crops,Dropside Truck,8178
Corn,10169,crops,10 Wheeler Cargo Truck,12142
Corn,6237,crops,Dropside Truck,6746
Frozen Fish,9257,perishable goods,10 wheeler Reefer Truck,10087
Eggs,9132,perishable goods,10 wheeler Reefer Truck,9802
Fresh Vegetables,688,perishable goods,Small Refrigerated Van,1354
Goats,4874,livestock,Large Livestock Truck,5120
Eggs,7419,perishable goods,Large Refrigerated Truck,7731
Fresh Vegetables,4776,perishable goods,Medium Refrigerated Truck,5003
Rice,4743,crops,Dropside Truck,5231
Corn,14823,crops,10 Wheeler Dump Truck,16021
Goats,3556,livestock,Large Livestock Truck,3843
Chickens,2374,livestock,Medium Livestock Truck,3176
Pigs,1253,livestock,Small Livestock Truck,2741
Fruits,187,crops,Motorcyle with Box,529
Fresh Vegetables,9757,perishable goods,10 wheeler Reefer Truck,9882
Rice,2454,crops,Large Pickup Truck,3990
Fruits,13602,crops,10 Wheeler Dump Truck,14819
Cows,4132,livestock,Large Livestock Truck,4561
Eggs,8145,perishable goods,Large Refrigerated Truck,9509
Fresh Vegetables,924,perishable goods,Medium Refrigerated Van,2606
Vegetables,10553,crops,10 Wheeler Cargo Truck,10920
Leafy Greens,1309,perishable goods,Large Refrigerated Van,1451
Corn,12407,crops,10 Wheeler Dump Truck,13845
Rice,7935,crops,Dropside Truck,8322
Goats,8707,livestock,10 wheeler Livestock Truck,10370
Leafy Greens,7888,perishable goods,Large Refrigerated Truck,9698
Milk,2076,perishable goods,Small Refrigerated Truck,2861
Meat,9253,perishable goods,10 wheeler Reefer Truck,10747
Frozen Fish,1923,perishable goods,Small Refrigerated Truck,3893
Fruits,10507,crops,10 Wheeler Cargo Truck,10802
Vegetables,6856,crops,Dropside Truck,8392
Eggs,6358,perishable goods,Large Refrigerated Truck,7928
Vegetables,6335,crops,Dropside Truck,8294
Frozen Fish,8474,perishable goods,Large Refrigerated Truck,8892
Eggs,10188,perishable goods,10 wheeler Reefer Truck,10355
Rice,154,crops,Tricycle,1059
Milk,4294,perishable goods,Medium Refrigerated Truck,6183
Eggs,1875,perishable goods,Small Refrigerated Truck,3540
Milk,703,perishable goods,Small Refrigerated Van,2144
Pigs,7367,livestock,10 wheeler Livestock Truck,7629
Frozen Fish,2759,perishable goods,Small Refrigerated Truck,3647
Pigs,2438,livestock,Medium Livestock Truck,4084
Goats,7707,livestock,10 wheeler Livestock Truck,8681
Pigs,6937,livestock,Large Livestock Truck,7382
Corn,14326,crops,10 Wheeler Dump Truck,14443
Frozen Fish,8062,perishable goods,Large Refrigerated Truck,9953
Pigs,7793,livestock,10 wheeler Livestock Truck,9757
Fruits,4790,crops,Dropside Truck,6417
Rice,4327,crops,Heavy Duty Pickup Truck,4452
Frozen Fish,7168,perishable goods,Large Refrigerated Truck,7478
Fruits,6570,crops,Dropside Truck,7217
Corn,1268,crops,Large Delivery Van,1651
Chickens,5199,livestock,Large Livestock Truck,6548
Leafy Greens,9385,perishable goods,10 wheeler Reefer Truck,10538
Goats,9415,livestock,10 wheeler Livestock Truck,10047
Leafy Greens,4786,perishable goods,Medium Refrigerated Truck,5719
Eggs,11695,perishable goods,10 wheeler Reefer Truck,12787
Frozen Fish,10762,perishable goods,10 wheeler Reefer Truck,11856
Corn,8110,crops,Dropside Truck,9171
Pigs,164,livestock,Small Livestock Truck,1746
Frozen Fish,4843,perishable goods,Medium Refrigerated Truck,5618
Eggs,5873,perishable goods,Large Refrigerated Truck,7685
Chickens,5115,livestock,Large Livestock Truck,5666
Rice,8773,crops,Dropside Truck,10048
Leafy Greens,6457,perishable goods,Large Refrigerated Truck,7488
Vegetables,7647,crops,Dropside Truck,8713
Corn,8407,crops,10 Wheeler Cargo Truck,9185
Chickens,7103,livestock,10 wheeler Livestock Truck,8769
Milk,10608,perishable goods,10 wheeler Reefer Truck,11958
Frozen Fish,1370,perishable goods,Large Refrigerated Van,3104
Fresh Vegetables,4950,perishable goods,Medium Refrigerated Truck,6142
Leafy Greens,5438,perishable goods,Large Refrigerated Truck,6996
Meat,2436,perishable goods,Small Refrigerated Truck,4323
Fruits,13086,crops,10 Wheeler Dump Truck,15061
Leafy Greens,3972,perishable goods,Medium Refrigerated Truck,4475
Corn,5013,crops,Dropside Truck,6279
Goats,8922,livestock,10 wheeler Livestock Truck,9544
Corn,2667,crops,Large Pickup Truck,3486
Frozen Fish,8831,perishable goods,Large Refrigerated Truck,9849
Cows,4736,livestock,Large Livestock Truck,6563
Leafy Greens,6890,perishable goods,Large Refrigerated Truck,7139
Goats,7834,livestock,10 wheeler Livestock Truck,8822
Goats,10752,livestock,10 wheeler Livestock Truck,12379
Eggs,9695,perishable goods,10 wheeler Reefer Truck,11360
Pigs,1889,livestock,Medium Livestock Truck,2116
Fresh Vegetables,6319,perishable goods,Large Refrigerated Truck,8221
Fresh Vegetables,3854,perishable goods,Medium Refrigerated Truck,5699
Fresh Vegetables,7674,perishable goods,Large Refrigerated Truck,8203
Frozen Fish,125,perishable goods,Small Refrigerated Van,1380
Fresh Vegetables,10480,perishable goods,10 wheeler Reefer Truck,12474
Fruits,13385,crops,10 Wheeler Dump Truck,15289
Vegetables,1554,crops,Large Delivery Van,2525
Eggs,1018,perishable goods,Medium Refrigerated Van,1187
Frozen Fish,11235,perishable goods,10 wheeler Reefer Truck,12485
Eggs,9617,perishable goods,10 wheeler Reefer Truck,11330
Corn,4512,crops,Dropside Truck,4623
Goats,11467,livestock,10 wheeler Livestock Truck,13019
Milk,4476,perishable goods,Medium Refrigerated Truck,6180
Fresh Vegetables,8305,perishable goods,Large Refrigerated Truck,8835
Cows,2746,livestock,Medium Livestock Truck,4725
Corn,9450,crops,10 Wheeler Cargo Truck,10078
Goats,8362,livestock,10 wheeler Livestock Truck,9847
Vegetables,1507,crops,Elf Truck,1993
Fruits,204,crops,Tricycle,2031
Leafy Greens,32,perishable goods,Small Refrigerated Van,1361
Leafy Greens,2160,perishable goods,Small Refrigerated Truck,2431
Cows,357,livestock,Small Livestock Truck,2130
Rice,5376,crops,Dropside Truck,7305
Eggs,10802,perishable goods,10 wheeler Reefer Truck,10960
Pigs,7544,livestock,10 wheeler Livestock Truck,8693
Chickens,9420,livestock,10 wheeler Livestock Truck,11399
Fruits,460,crops,Small Multicab,1228
Pigs,8765,livestock,10 wheeler Livestock Truck,8923
Leafy Greens,5522,perishable goods,Large Refrigerated Truck,6269
Corn,11267,crops,10 Wheeler Cargo Truck,12962
Cows,1727,livestock,Medium Livestock Truck,3083
Frozen Fish,2950,perishable goods,Small Refrigerated Truck,3098
Goats,1581,livestock,Medium Livestock Truck,3493
Leafy Greens,51,perishable goods,Small Refrigerated Van,781
Rice,2712,crops,Elf Truck,4458
Leafy Greens,1649,perishable goods,Small Refrigerated Truck,3490
Chickens,4721,livestock,Large Livestock Truck,6549
Vegetables,6651,crops,Dropside Truck,7163
Frozen Fish,1150,perishable goods,Medium Refrigerated Van,2818
Frozen Fish,2559,perishable goods,Small Refrigerated Truck,2814
Fresh Vegetables,502,perishable goods,Small Refrigerated Van,1971
Eggs,4220,perishable goods,Medium Refrigerated Truck,6126
Milk,1900,perishable goods,Small Refrigerated Truck,2336
Vegetables,9780,crops,10 Wheeler Cargo Truck,10786
Frozen Fish,2313,perishable goods,Small Refrigerated Truck,3042
Corn,2422,crops,Large Pickup Truck,3385
Milk,8989,perishable goods,Large Refrigerated Truck,10880
Vegetables,6216,crops,Dropside Truck,6969
Frozen Fish,6273,perishable goods,Large Refrigerated Truck,7837
Goats,307,livestock,Small Livestock Truck,736
Pigs,145,livestock,Small Livestock Truck,1905
Eggs,82,perishable goods,Small Refrigerated Van,630
Frozen Fish,356,perishable goods,Small Refrigerated Van,1643
Meat,1899,perishable goods,Small Refrigerated Truck,3159
Eggs,9761,perishable goods,10 wheeler Reefer Truck,10344
Rice,8292,crops,10 Wheeler Cargo Truck,9302
Milk,2098,perishable goods,Small Refrigerated Truck,4041
Fruits,11996,crops,10 Wheeler Dump Truck,12302
Frozen Fish,1335,perishable goods,Large Refrigerated Van,1552
Meat,7137,perishable goods,Large Refrigerated Truck,7920
Fruits,10422,crops,10 Wheeler Cargo Truck,11051
Chickens,5988,livestock,Large Livestock Truck,6508
Frozen Fish,4543,perishable goods,Medium Refrigerated Truck,5859
Corn,3827,crops,Heavy Duty Pickup Truck,4436
Fresh Vegetables,11290,perishable goods,10 wheeler Reefer Truck,13235
Frozen Fish,1197,perishable goods,Medium Refrigerated Van,2271
Chickens,5543,livestock,Large Livestock Truck,6837
Goats,7890,livestock,10 wheeler Livestock Truck,8183
Pigs,7841,livestock,10 wheeler Livestock Truck,9690
Pigs,3123,livestock,Large Livestock Truck,4192
Pigs,4987,livestock,Large Livestock Truck,6216
Chickens,3935,livestock,Large Livestock Truck,4698
Fresh Vegetables,6206,perishable goods,Large Refrigerated Truck,8031
Pigs,10446,livestock,10 wheeler Livestock Truck,11715
Eggs,2376,perishable goods,Small Refrigerated Truck,3062
Leafy Greens,2705,perishable goods,Small Refrigerated Truck,3270
Eggs,8311,perishable goods,Large Refrigerated Truck,10192
Frozen Fish,1044,perishable goods,Medium Refrigerated Van,2369
Meat,7109,perishable goods,Large Refrigerated Truck,7935
Corn,3672,crops,Heavy Duty Pickup Truck,5359
Frozen Fish,5638,perishable goods,Large Refrigerated Truck,6545
Vegetables,3308,crops,Elf Truck,5272
Fresh Vegetables,5957,perishable goods,Large Refrigerated Truck,6199
Pigs,2345,livestock,Medium Livestock Truck,4150
Fruits,8782,crops,Dropside Truck,9559
Meat,8394,perishable goods,Large Refrigerated Truck,9029
Corn,4266,crops,Heavy Duty Pickup Truck,4937
Frozen Fish,7140,perishable goods,Large Refrigerated Truck,7874
Meat,3290,perishable goods,Medium Refrigerated Truck,4899
Chickens,5901,livestock,Large Livestock Truck,6888
Goats,4865,livestock,Large Livestock Truck,6728
Pigs,2072,livestock,Medium Livestock Truck,3216
Fresh Vegetables,6545,perishable goods,Large Refrigerated Truck,7753
